,Heating,Cooling,Parking,Bedrooms,Bathrooms,Total interior livable area,Elementary School Score,Middle School Score,High School Score,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed Price
512,Forced Air,None,"Off-street, Covered",3,3.0,1850.0,6.0,5.0,8.0,"Tile, Laminate, Wood, Carpet","Stove, Wood / Pellet",None,"Refrigerator, Washer","Washer / Dryer, Inside","Off-street, Covered",372762.0,4304.0,665000.0
520,"Gas, Wall Furnace",None,"Garage, Garage - Attached, Covered",3,2.0,1371.0,4.0,3.0,5.0,"Tile, Hardwood, Carpet, Vinyl / Linoleum","Wall, Electric",None,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator","Washer / Dryer, Gas Hookup","Garage, Garage - Attached, Covered",892335.0,11686.0,1150000.0
523,Central Forced Air,Central AC,"Garage, Garage - Detached, Covered","Master Bedroom on Ground Floor, Walk-in Closet",3.0,2000.0,4.0,3.0,5.0,"Tile, Hardwood, Carpet","None, Forced air",Central,"Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside","Garage, Garage - Detached, Covered",931244.0,12075.0,1498000.0
537,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",4,3.0,2139.0,7.0,7.0,8.0,Laminate,"Forced air, Gas",Central,"Garbage disposal, Range / Oven, Refrigerator",In Utility Room,"Garage, Garage - Attached, Covered",1152600.0,14732.0,1500000.0
546,"Gas, Central Forced Air",None,"Garage, Garage - Attached",Master Bedroom on Ground Floor,2.0,1430.0,8.0,7.0,5.0,"Hardwood, Carpet, Vinyl / Linoleum","Forced air, Gas",None,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer","In Garage, Tub / Sink, Washer / Dryer, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached",102599.0,1102.0,1999950.0
553,Central,Central,"Garage, Garage - Detached, Covered",4,6.0,5306.0,8.0,7.0,7.0,"Hardwood, Stone",Forced air,Central,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Trash compactor",Room,"Garage, Garage - Detached, Covered",2295907.0,28190.0,6950000.0
554,"Central, Natural Gas",Central Air,"Garage, Garage - Two Door",3,3.0,2007.0,6.0,3.0,6.0,"Tile, Wood","Central, Natural Gas",Central Air,"6 Burner Stove, Dishwasher, Disposal, Gas Range, Refrigerator","Gas & Electric Dryer Hookup, Inside","Garage, Garage - Two Door",1872719.0,22679.0,2279000.0
562,Central Forced Air - Gas,Central AC,"Underground/Basement, Garage - Attached, Off-street, On-street, Covered",Walk-in Closet,3.0,2453.0,8.0,8.0,9.0,"Hardwood, Marble","Forced air, Other, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer","Washer / Dryer, Gas Hookup, Inside, Electricity Hookup (220V)","Underground/Basement, Garage - Attached, Off-street, On-street, Covered",1391970.0,17121.0,1888000.0
565,Central Forced Air,None,"Garage, Garage - Attached",4,3.0,2220.0,8.0,7.0,5.0,Carpet,"Forced air, Gas",None,"Dishwasher, Microwave",Inside,"Garage, Garage - Attached",122243.0,1311.0,1388000.0
574,"Central Forced Air, Central Forced Air - Gas",Central AC,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Suite / Retreat, Walk-in Closet",3.0,3202.0,9.0,7.0,8.0,Hardwood,"Forced air, Gas",Central,"Dishwasher, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator","Inside, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",1759396.0,22246.0,2100000.0
589,"Fireplace, Central Forced Air","Other, Central AC","Garage, Garage - Attached, Covered",Walk-in Closet,3.0,2150.0,6.0,5.0,9.0,"Hardwood, Carpet","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside","Garage, Garage - Attached, Covered",1340000.0,18593.0,1348500.0
597,"Forced air, Gas",None,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, More than One Bedroom on Ground Floor",4.0,2891.0,4.0,5.0,4.0,"Carpet, Hardwood","Forced air, Gas",None,"Dishwasher, Garbage disposal","Inside, In Utility Room, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",963616.0,13066.0,1288000.0
608,Heat Pump,Evaporative,"Garage, Carport, Covered",3,3.0,2423.0,5.0,3.0,6.0,Tile,"Heat pump, Electric",Evaporative,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator","Room, Bathroom, Utility Sink","Garage, Carport, Covered",149638.0,1457.0,330000.0
610,Central Forced Air - Gas,None,"Underground/Basement, Garage - Attached, Covered",4,3.0,2600.0,6.0,6.0,9.0,"Tile, Hardwood, Laminate","Forced air, Gas",None,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Utility Room, Electricity Hookup (220V)","Underground/Basement, Garage - Attached, Covered",161947.0,2038.0,2300888.0
613,Central,Central Air,"Concrete, Oversized",4,2.0,1455.0,4.0,5.0,4.0,"Laminate, Tile",Central,Central Air,"Dishwasher, Disposal, Gas Range, Water Heater, Water Line to Refrigerator",Inside,"Concrete, Oversized",426360.0,5368.0,788000.0
620,"Forced air, Other",Central,"Garage, Off-street, On-street, Covered",4,3.0,1316.0,2.0,4.0,3.0,Hardwood,"Forced air, Other",Central,"Dryer, Washer",In Unit,"Garage, Off-street, On-street, Covered",34792.0,2364.0,749888.0
631,Central Forced Air,Central AC,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, Master Suite / Retreat, Walk-in Closet",3.0,2137.0,3.0,5.0,4.0,"Tile, Hardwood","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Inside, In Utility Room","Garage, Garage - Attached, Covered",964450.0,12995.0,1048000.0
644,"Central Forced Air, Central Forced Air - Gas",None,"Garage, Garage - Attached, Covered",More than One Master Bedroom,0.0,972.0,3.0,3.0,4.0,"Wood, Vinyl / Linoleum","Forced air, Gas",None,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer","In Garage, Washer / Dryer, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",190468.0,2341.0,479000.0
659,Central Forced Air,None,"Garage, Garage - Attached",3,2.0,1200.0,6.0,6.0,6.0,"Tile, Hardwood, Carpet",Forced air,None,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Washer / Dryer,"Garage, Garage - Attached",1417545.0,16565.0,1649000.0
661,Central Forced Air - Gas,"Ceiling Fan, Central AC","Carport, Off-street, Covered, Garage","Master Bedroom on Ground Floor, Walk-in Closet, Master Suite / Retreate - 2+",2.0,1316.0,7.0,9.0,8.0,"Tile, Hardwood, Carpet","Forced air, Wall, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer","Tub / Sink, Inside, Electricity Hookup (220V)","Carport, Off-street, Covered, Garage",278444.0,4346.0,1499000.0
662,Central Forced Air,None,"Garage, Garage - Attached, Covered",3,3.0,1739.0,5.0,4.0,5.0,"Tile, Laminate, Carpet",Forced air,None,"Dishwasher, Garbage disposal, Microwave, Range / Oven","Upper Floor, Inside","Garage, Garage - Attached, Covered",1107387.0,14764.0,1425000.0
663,"Forced air, Gas",Central,"Garage, Garage - Detached, Off-street, Covered",3,1.0,1388.0,4.0,5.0,6.0,Hardwood,"Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Range / Oven, Refrigerator, Washer",In Unit,"Garage, Garage - Detached, Off-street, Covered",478535.0,6807.0,898000.0
666,Forced air,Other,"Garage, Garage - Detached, Covered",3,3.0,1638.0,4.0,3.0,7.0,Hardwood,Forced air,Other,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer",In Unit,"Garage, Garage - Detached, Covered",840929.0,10090.0,1588888.0
667,Central,Central Air,"Direct Access, Garage - Two Door, Private",3,4.0,2138.0,6.0,3.0,6.0,Wood,Central,Central Air,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",Laundry Closet,"Direct Access, Garage - Two Door, Private",1512221.0,18482.0,2295000.0
675,Central Forced Air - Gas,None,"Garage, Garage - Attached, Covered","Master Bedroom on Ground Floor, Master Suite / Retreat, More than One Bedroom on Ground Floor, Walk-in Closet",3.0,2990.0,5.0,6.0,8.0,"Tile, Hardwood, Carpet","Forced air, Gas",None,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Washer / Dryer, Inside","Garage, Garage - Attached, Covered",828150.0,11170.0,2498000.0
677,Radiant,Whole House / Attic Fan,"Garage, Garage - Detached, Covered","Master Suite / Retreat, Walk-in Closet",3.0,2610.0,9.0,8.0,7.0,Hardwood,"Radiant, Gas",Geothermal,"Dishwasher, Garbage disposal",Inside,"Garage, Garage - Detached, Covered",876542.0,12176.0,4898000.0
682,Central Forced Air,Central AC,"Garage, Garage - Detached, Off-street, Covered",Master Bedroom on Ground Floor,2.0,1410.0,3.0,3.0,5.0,"Hardwood, Slate, Carpet, Travertine","Forced air, Gas",None,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Washer / Dryer,"Garage, Garage - Detached, Off-street, Covered",837522.0,11067.0,849000.0
686,"Forced air, Gas",Other,"Garage, Garage - Detached, Covered",3,2.0,1244.0,6.0,7.0,7.0,"Tile, Linoleum / Vinyl","Forced air, Gas",Other,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer",In Unit,"Garage, Garage - Detached, Covered",1050000.0,13650.0,1398000.0
701,Wall Furnace,None,"Garage, Garage - Attached",2,1.0,936.0,4.0,6.0,7.0,"Hardwood, Vinyl / Linoleum",Wall,None,"Dryer, Refrigerator, Washer","Washer / Dryer, In Utility Room","Garage, Garage - Attached",131504.0,1866.0,899950.0
703,Central,Central Air,"Garage, Garage - Two Door",3,3.0,2162.0,6.0,2.0,2.0,"Wood, Tile",Central,Central Air,"Dishwasher, Disposal, Refrigerator","Inside, Laundry Room","Garage, Garage - Two Door",1153100.0,14220.0,1499000.0
706,Central Forced Air - Gas,"Ceiling Fan, Central AC, Whole House / Attic Fan","Garage, Garage - Attached",More than One Bedroom on Ground Floor,1.0,1020.0,5.0,5.0,6.0,"Tile, Laminate, Vinyl / Linoleum","Forced air, Gas",Central,"Dryer, Garbage disposal, Refrigerator, Washer","In Garage, Washer / Dryer","Garage, Garage - Attached",1331816.0,14716.0,1549000.0
713,"Fireplace, Central Forced Air - Gas",Central AC,"Garage, Garage - Attached, Covered",3,3.0,2303.0,7.0,6.0,7.0,"Laminate, Carpet, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer","In Garage, Washer / Dryer","Garage, Garage - Attached, Covered",371499.0,6524.0,1498888.0
716,Central Forced Air,Central AC,"Garage, Garage - Attached, Off-street, On-street, Covered",3,2.0,2100.0,6.0,5.0,6.0,"Tile, Hardwood, Carpet","Forced air, Gas",Central,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",In Garage,"Garage, Garage - Attached, Off-street, On-street, Covered",81457.0,1106.0,1398888.0
722,Central,Central Air,Driveway,4,3.0,2146.0,4.0,4.0,6.0,"Wood, Tile",Central,Central Air,"Dishwasher, Microwave, Refrigerator, Washer","Outside, Laundry Room",Driveway,1631920.0,19849.0,1995000.0
741,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered",More than One Bedroom on Ground Floor,2.0,1400.0,7.0,9.0,8.0,"Tile, Carpet, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Refrigerator, Trash compactor",In Garage,"Garage, Garage - Attached, Covered",918793.0,12935.0,1288000.0
748,"Heating - 2+ Zones, Central Forced Air","Multi-Zone, Central AC","Garage, Garage - Attached","Ground Floor Bedroom, Master Bedroom on Ground Floor, Master Suite / Retreat, More than One Master Bedroom",5.0,3246.0,7.0,8.0,8.0,"Tile, Hardwood, Slate, Carpet","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","Dryer, Washer, Washer / Dryer, Inside","Garage, Garage - Attached",1194835.0,13856.0,1900000.0
764,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered","Master Bedroom on Ground Floor, More than One Master Bedroom",3.0,2350.0,8.0,6.0,7.0,"Tile, Carpet","Forced air, Gas",Central,"Dishwasher, Microwave, Range / Oven",In Utility Room,"Garage, Garage - Attached, Covered",263418.0,4448.0,1398000.0
768,Central,Central Air,Detached Carport,3,2.0,1613.0,6.0,3.0,6.0,Wood,Central,Central Air,"Dishwasher, Disposal, Refrigerator",Laundry Room,Detached Carport,1412700.0,17357.0,1699000.0
785,Forced Air,None,"Garage, Garage - Attached, Covered",More than One Bedroom on Ground Floor,1.0,988.0,4.0,4.0,3.0,"Laminate, Carpet","None, Forced air",None,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",Inside,"Garage, Garage - Attached, Covered",394779.0,5914.0,890000.0
805,Central Forced Air - Gas,None,"Garage, Garage - Attached, Covered",4,2.0,1684.0,9.0,9.0,10.0,"Tile, Wood","Forced air, Gas",None,"Dishwasher, Garbage disposal, Range / Oven",In Garage,"Garage, Garage - Attached, Covered",1102483.0,14167.0,2100000.0
829,"Central Forced Air, Central Forced Air - Gas","Ceiling Fan, Central AC","Garage, Garage - Attached, Covered","Master Bedroom on Ground Floor, Walk-in Closet",3.0,2120.0,7.0,6.0,8.0,"Tile, Hardwood, Wood, Vinyl / Linoleum","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator","Inside, In Utility Room, Electricity Hookup (220V), Electricity Hookup (110V)","Garage, Garage - Attached, Covered",1618341.0,20135.0,1688888.0
839,Zoned,Zoned,"Detached, Off Street",4,3.0,1433.0,4.0,3.0,7.0,"Tile, Wood, Other",Zoned,Zoned,Dishwasher,Hookups Only,"Detached, Off Street",1132500.0,13609.0,1374000.0
852,Central Forced Air,None,"Garage, Garage - Attached",3,2.0,1300.0,6.0,5.0,5.0,"Tile, Laminate, Carpet",Forced air,None,"Dishwasher, Dryer, Refrigerator, Washer",Washer / Dryer,"Garage, Garage - Attached",568508.0,2070.0,1010000.0
853,"Radiant, Radiant Floors",None,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, More than One Bedroom on Ground Floor, Walk-in Closet",3.0,2436.0,8.0,7.0,9.0,Laminate,Radiant,None,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","Gas Hookup, Inside, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",2764124.0,33412.0,3798000.0
865,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Off-street, Covered","Master Bedroom on Ground Floor, Walk-in Closet",3.0,1414.0,8.0,7.0,8.0,"Tile, Laminate","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Range / Oven, Refrigerator",In Garage,"Garage, Garage - Attached, Off-street, Covered",958800.0,13436.0,1188888.0
873,Central,Central,"Garage, Garage - Detached, Covered",4,4.0,3771.0,8.0,6.0,8.0,"Tile, Wood, Linoleum",Forced air,Central,"Freezer, Refrigerator","Inside, Room","Garage, Garage - Detached, Covered",3516601.0,42821.0,3850000.0
877,Central,Central Air,Driveway,3,2.0,2002.0,8.0,6.0,8.0,"Wood, Tile",Central,Central Air,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Inside,Driveway,1021943.0,12545.0,1049900.0
895,Central Forced Air,None,"Garage, Garage - Attached, Covered",4,3.0,1742.0,3.0,3.0,4.0,"Tile, Hardwood",Forced air,None,"Dishwasher, Garbage disposal, Microwave, Range / Oven, Refrigerator",In Garage,"Garage, Garage - Attached, Covered",482364.0,7680.0,795000.0
896,Central,Central Air,"Driveway, Garage - Two Door",5,6.0,3550.0,8.0,3.0,6.0,Wood,Central,Central Air,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator, Built-In, Double Oven, Range","Upper Level, Laundry Room","Driveway, Garage - Two Door",2723100.0,33108.0,3395000.0
904,Central,Central Air,"Carport, Garage Door Opener, Gated",5,3.0,3597.0,8.0,7.0,7.0,"Wood, Tile",Central,Central Air,"Barbecue, Dishwasher",Outside,"Carport, Garage Door Opener, Gated",1109678.0,13776.0,2950000.0
910,Central,"Central Air, Dual","Garage, Garage - Two Door, Gated",6,7.0,4191.0,7.0,3.0,7.0,"Tile, Wood",Central,"Central Air, Dual","Dishwasher, Disposal, Refrigerator","Inside, Laundry Room","Garage, Garage - Two Door, Gated",3133639.0,38090.0,3375000.0
920,Gas,None,"Garage, Garage - Attached, Covered",4,3.0,1844.0,4.0,4.0,5.0,"Tile, Laminate, Carpet","Other, Gas",None,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",In Garage,"Garage, Garage - Attached, Covered",260507.0,4531.0,998000.0
926,"Gas, Fireplace, Central Forced Air - Gas",Central AC,"Garage, Garage - Detached","Ground Floor Bedroom, Master Bedroom on Ground Floor, More than One Bedroom on Ground Floor, Walk-in Closet, More than One Master Bedroom on Ground Floor",4.0,2826.0,6.0,6.0,8.0,"Tile, Hardwood","Forced air, Gas",Central,"Dishwasher, Garbage disposal, Microwave, Refrigerator","Gas Hookup, Inside, In Utility Room","Garage, Garage - Detached",1754400.0,20807.0,2929000.0
928,Central,Central Air,On Street,2,1.0,748.0,2.0,6.0,9.0,"Laminate, Tile, Wood",Central,Central Air,"Dishwasher, Disposal, Gas Oven, Gas Range, Refrigerator, Tankless Water Heater, Dryer, Washer",Inside,On Street,248957.0,3154.0,499750.0
942,Central,Central Air,"Auto Driveway Gate, Detached Carport, Garage - Two Door",3,2.0,2253.0,8.0,6.0,8.0,"Wood, Tile",Central,Central Air,"Dishwasher, Refrigerator, Washer, Dryer",Inside,"Auto Driveway Gate, Detached Carport, Garage - Two Door",1813337.0,22260.0,1775000.0
957,Central,Central Air,"Driveway, Garage - Single Door",2,1.0,986.0,9.0,3.0,7.0,Carpet,Central,Central Air,"Refrigerator, Washer, Dryer",In Garage,"Driveway, Garage - Single Door",63601.0,920.0,935000.0
958,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered","Master Bedroom on Ground Floor, Master Suite / Retreat, More than One Bedroom on Ground Floor, Walk-in Closet",2.0,1817.0,5.0,5.0,6.0,Laminate,"Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer","In Garage, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",1428000.0,17856.0,1349999.0
959,Central,Central Air,Garage,3,4.0,2900.0,6.0,3.0,6.0,Wood,Central,Central Air,"Barbecue, Dishwasher, Disposal, Refrigerator, Washer, Dryer",Laundry Room,Garage,950679.0,11839.0,2490000.0
965,Central Forced Air,Central AC,"Garage, Carport",Ground Floor Bedroom,3.0,2224.0,9.0,8.0,8.0,"Tile, Hardwood, Marble, Laminate, Carpet",Forced air,Central,"Garbage disposal, Microwave, Refrigerator",In Utility Room,"Garage, Carport",103688.0,1432.0,2499000.0
970,Central Forced Air,"Ceiling Fan, Central AC","Garage, Garage - Attached, Covered",Master Suite / Retreat,3.0,2855.0,7.0,5.0,9.0,"Tile, Hardwood, Carpet","Forced air, Gas",Wall,"Dishwasher, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator","Inside, In Utility Room","Garage, Garage - Attached, Covered",1344214.0,18164.0,1650000.0
977,Central Forced Air - Gas,Central AC,"Garage, Garage - Attached, Covered","Ground Floor Bedroom, More than One Bedroom on Ground Floor",2.0,1430.0,7.0,7.0,9.0,"Tile, Laminate","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Range / Oven, Refrigerator, Washer","In Garage, Washer / Dryer, Electricity Hookup (220V)","Garage, Garage - Attached, Covered",639631.0,9413.0,950000.0
1001,Central Forced Air,None,"Garage, Garage - Attached, Covered","Master Bedroom on Ground Floor, Master Suite / Retreat",3.0,1632.0,7.0,5.0,9.0,"Carpet, Other",Forced air,None,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","Washer / Dryer, Inside, In Utility Room","Garage, Garage - Attached, Covered",623402.0,8493.0,949000.0
1014,"Central, Natural Gas, See Remarks","Central Air, See Remarks","Carport, Detached Carport, RV Access/Parking, RV Covered, RV Gated, See Remarks",4,2.0,1363.0,3.0,2.0,2.0,"Laminate, Tile","Central, Natural Gas, See Remarks","Central Air, See Remarks","Free-Standing Range, Disposal, Water Heater","Gas Dryer Hookup, Inside, Washer Hookup","Carport, Detached Carport, RV Access/Parking, RV Covered, RV Gated, See Remarks",555900.0,6938.0,799900.0
